text,label,bias_terms,target_group,severity,safer_text,label id
"Làm việc với người miền Trung mệt lắm vì tính khí thất thường, nóng nảy.",regional,"nóng nảy, thất thường",Người miền Trung,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Người ta vẫn hay nói người Hải Phòng dễ bị lôi kéo vào băng đảng.,regional,"băng đảng, tệ nạn",Người Hải Phòng,high,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Tôi thấy người miền Trung chịu khổ được nhưng sống không biết hưởng thụ.,regional,không biết hưởng thụ,Người miền Trung,low,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
Thật ra dân thủ đô hay tự cho mình là văn minh hơn người tỉnh lẻ.,regional,"phân biệt, tự cao",Người Hà Nội,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
Dân Hải Phòng thì ai cũng biết là hay kéo bè để ức hiếp người khác.,regional,"kéo bè, ức hiếp",Người Hải Phòng,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Tôi không thích dân miền Nam vì sống buông thả không lo tương lai.,regional,"buông thả, thiếu kế hoạch",Người Sài Gòn,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
Người ta vẫn hay nói dân Sài Gòn không trân trọng truyền thống văn hóa.,regional,thiếu trân trọng truyền thống,Người Sài Gòn,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Nghe nói dân Đà Nẵng nói chuyện thô lỗ, thiếu tế nhị.",regional,"thô lỗ, thiếu tế nhị",Người Đà Nẵng,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Thật ra người Huế thực dụng, chỉ tính cái lợi trước mắt.",regional,"thực dụng, tính toán",Người miền Trung,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Tôi không thích người Sài Gòn vì sống buông thả không lo tương lai.,regional,"buông thả, thiếu kế hoạch",Người Sài Gòn,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Nghe nói người Sài Gòn xưa thích nhậu nhẹt, không lo chuyện lớn.",regional,"nhậu nhẹt, thiếu trách nhiệm",Người miền Nam,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Không biết sao chứ người Sài Gòn nói chuyện bỗ bã, thiếu lễ phép.",regional,"bỗ bã, thiếu lễ phép",Người Sài Gòn,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Cứ nhìn vào dân xứ Quảng là thấy cứng đầu, hay cãi bướng.",regional,"cứng đầu, cãi bướng",Người Quảng Nam,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Người Sài Gòn thì ai cũng biết là dễ bị lôi kéo vào tệ nạn.,regional,"tệ nạn, dễ bị lôi kéo",Người Sài Gòn,high,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Đến dân thủ đô mà hay tự cho mình là văn minh hơn người tỉnh lẻ thì biết nói gì.,regional,"phân biệt, tự cao",Người Hà Nội,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Ai cũng biết dân Nam nói chuyện ồn ào, thiếu lịch sự.",regional,"ồn ào, thiếu lịch sự",Người miền Nam,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Tôi đã từng gặp dân cảng và thấy không đáng tin trong làm ăn.,regional,không đáng tin,Người Hải Phòng,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Ai cũng biết dân thủ đô người Hà Nội bây giờ toàn dân tứ xứ, không còn ai gốc nữa.",regional,"gốc Hà Nội, dân tứ xứ",Người Hà Nội,low,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
Người ta vẫn hay nói người Nghệ Tĩnh nói giọng nặng không ai hiểu.,regional,"giọng nặng, khó hiểu",Người Nghệ An,low,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
"Nghe nói dân xứ Nghệ dân xứ Nghệ cứng đầu, không nghe ai khuyên.",regional,"cứng đầu, bướng bỉnh",Người Nghệ An,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Thật ra người miền Trung ít giao tiếp, khép kín với người lạ.",regional,"khép kín, ít giao tiếp",Người miền Trung,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Mọi người đều nói người cố đô hay tự mãn với văn hóa địa phương.,regional,"tự mãn, cục bộ",Người Huế,low,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
Chẳng ai phủ nhận được người Đà Nẵng nói giọng nặng khó nghe.,regional,"giọng nặng, khó nghe",Người Đà Nẵng,low,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Đến người miền Trung mà cố chấp, khó thay đổi quan điểm thì biết nói gì.",regional,"cố chấp, bảo thủ",Người miền Trung,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Người ta vẫn hay nói người Hải Phòng ít học, không coi trọng giáo dục.",regional,"ít học, không coi trọng giáo dục",Người Hải Phòng,high,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Tôi né người Nghệ Tĩnh vì sống khép kín, không hòa đồng.",regional,"khép kín, không hòa đồng",Người Nghệ An,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Cứ nhìn vào dân Hà Nội là thấy nói giọng Hà Nội giờ nghe lai căng.,regional,"lai căng, giọng Hà Nội",Người Hà Nội,low,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Tôi đã từng gặp người cố đô và thấy hay khách sáo, không thật lòng.",regional,"khách sáo, không thật lòng",Người Huế,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Tôi né người Nghệ An vì nói giọng nặng không ai hiểu.,regional,"giọng nặng, khó hiểu",Người Nghệ An,low,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Tôi không thích người Hà Nội chính gốc vì thích làm màu, sống ảo nhiều hơn thực chất.",regional,"làm màu, sống ảo",Người miền Bắc,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Dân gian hay nói dân Quảng keo kiệt nổi tiếng, không bao giờ muốn trả tiền.",regional,keo kiệt,Người Quảng Nam,high,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Đến dân xứ Quảng mà hay tự cao về truyền thống địa phương thì biết nói gì.,regional,"tự cao, cục bộ",Người Quảng Nam,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Đến dân Sài Gòn mà chỉ biết kiếm tiền, không quan tâm gia đình thì biết nói gì.",regional,"ham tiền, thiếu quan tâm gia đình",Người Sài Gòn,high,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Làm việc với người Sài Gòn mệt lắm vì xài tiền không biết tính, phung phá lắm.",regional,"phung phá, xài tiền không tính",Người miền Nam,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Đến người Đà Nẵng mà ít cầu tiến, bằng lòng với hiện tại thì biết nói gì.",regional,"ít cầu tiến, bằng lòng",Người Đà Nẵng,medium,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Người miền Bắc thì ai cũng biết là thích làm màu, sống ảo nhiều hơn thực chất.",regional,"làm màu, sống ảo",Người miền Bắc,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Không biết sao chứ dân Huế người Huế ăn nhạt, nấu ăn dở tệ.",regional,"ăn nhạt, nấu ăn dở",Người Huế,low,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Dân Sài Gòn thì ai cũng biết là không trân trọng truyền thống văn hóa.,regional,thiếu trân trọng truyền thống,Người Sài Gòn,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
Nghe nói dân Bắc nói chuyện thì lịch sự bề ngoài nhưng thực ra rất tính toán.,regional,"tính toán, lịch sự bề ngoài",Người miền Bắc,low,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Tôi đã từng gặp người Đà Nẵng và thấy nói giọng nặng khó nghe.,regional,"giọng nặng, khó nghe",Người Đà Nẵng,low,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Nói thật chứ dân xứ Nghệ thực dụng, chỉ tính cái lợi trước mắt.",regional,"thực dụng, tính toán",Người miền Trung,medium,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Người ta vẫn hay nói người Đà Nẵng thực dụng, chỉ tính cái lợi trước mắt.",regional,"thực dụng, tính toán",Người miền Trung,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Ai cũng biết người miền Trung ít giao tiếp, khép kín với người lạ.",regional,"khép kín, ít giao tiếp",Người miền Trung,low,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Dân Sài Gòn thì ai cũng biết là ăn chơi sa đọa, không có nề nếp.",regional,"sa đọa, không nề nếp",Người Sài Gòn,high,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
Tôi đã từng gặp người Quảng Nam và thấy nói một đằng làm một nẻo.,regional,"không thật lòng, hai mặt",Người Quảng Nam,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Dân gian hay nói dân thủ đô hay nói chuyện về quan hệ, quen biết để nhờ vả.",regional,"quan hệ, ưu ái",Người Hà Nội,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Tôi né người Nghệ Tĩnh vì tính khí nóng nảy, hay gây chuyện.",regional,"nóng nảy, gây chuyện",Người Nghệ An,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Đến dân Đà Nẵng mà tự hào về thành phố thái quá, hay so sánh với nơi khác thì biết nói gì.",regional,"tự hào thái quá, so sánh",Người Đà Nẵng,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Bạn tôi kể người Quảng Nam hay phân biệt người trong tỉnh và ngoài tỉnh, thấy đúng thật.",regional,"phân biệt, cục bộ",Người Quảng Nam,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Tôi đã từng gặp người TP.HCM và thấy chỉ biết kiếm tiền, không quan tâm gia đình.",regional,"ham tiền, thiếu quan tâm gia đình",Người Sài Gòn,high,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Chẳng ai phủ nhận được người Nghệ An hay mặc cảm tự ti về xuất thân.,regional,"tự ti, mặc cảm",Người miền Trung,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Người ta vẫn hay nói dân Đà Nẵng hay dựa vào mối quan hệ hơn thực lực.,regional,"quan hệ, thiếu thực lực",Người Đà Nẵng,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Người ta vẫn hay nói người Đà Nẵng chịu khổ được nhưng sống không biết hưởng thụ.,regional,không biết hưởng thụ,Người miền Trung,low,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Đến dân thủ đô mà ít thân thiện với người mới đến thì biết nói gì.,regional,"thiếu thân thiện, xa cách",Người Hà Nội,low,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Tôi né người Hà Nội chính gốc vì không đáng tin, hay nói một đằng làm một nẻo.",regional,"không đáng tin, hai mặt",Người miền Bắc,high,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
Mọi người đều nói người Hà Nội gốc nói giọng Bắc nghe chảnh lắm.,regional,"giọng Bắc, chảnh",Người miền Bắc,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Người ta vẫn hay nói người miền Bắc nói chuyện thì lịch sự bề ngoài nhưng thực ra rất tính toán.,regional,"tính toán, lịch sự bề ngoài",Người miền Bắc,low,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Đến người Hải Phòng mà ít học, không coi trọng giáo dục thì biết nói gì.",regional,"ít học, không coi trọng giáo dục",Người Hải Phòng,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Thật ra người Sài Gòn xưa không tiết kiệm, sống qua ngày.",regional,"không tiết kiệm, thiếu kế hoạch",Người miền Nam,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Tôi đã từng gặp dân Sài Gòn và thấy coi tiền là trên hết, mất tình nghĩa.",regional,"coi tiền là trên hết, tình nghĩa",Người Sài Gòn,high,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Nói thật chứ người Hà Nội tranh giành chỗ đứng không cần thực lực.,regional,"tranh giành, thiếu thực lực",Người Hà Nội,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Không biết sao chứ người Hà Nội gốc kiêu ngạo vô lý, coi thường người ngoài tỉnh.",regional,"kiêu ngạo, phân biệt",Người Hà Nội,high,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Làm việc với người TP.HCM mệt lắm vì không trân trọng truyền thống văn hóa.,regional,thiếu trân trọng truyền thống,Người Sài Gòn,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Kinh nghiệm của tôi là người Nghệ Tĩnh keo kiệt, không biết chi tiền.",regional,"keo kiệt, bủn xỉn",Người Nghệ An,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
Nghe nói người Sài Gòn sống buông thả không lo tương lai.,regional,"buông thả, thiếu kế hoạch",Người Sài Gòn,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Cứ nhìn vào người Hải Phòng là thấy hay kéo bè để ức hiếp người khác.,regional,"kéo bè, ức hiếp",Người Hải Phòng,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Chẳng ai phủ nhận được người Quảng Nam không dễ chơi, phải quen lâu mới gần được.",regional,"khó gần, thiếu cởi mở",Người Quảng Nam,low,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Dân gian hay nói dân Hà Nội chỉ biết ăn ngon mặc đẹp chứ không lo làm giàu.,regional,"hưởng thụ, thiếu thực tế",Người Hà Nội,medium,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Thật ra người TP.HCM tư tưởng Tây hóa, quên gốc rễ.",regional,"Tây hóa, quên gốc rễ",Người Sài Gòn,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Không biết sao chứ người Hà Nội chính gốc không đáng tin, hay nói một đằng làm một nẻo.",regional,"không đáng tin, hai mặt",Người miền Bắc,high,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Chẳng ai phủ nhận được người Sài Gòn xưa lười biếng, ỷ lại.",regional,"lười biếng, ỷ lại",Người miền Nam,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Mọi người đều nói người Sài Gòn ăn chơi sa đọa, không có nề nếp.",regional,"sa đọa, không nề nếp",Người Sài Gòn,high,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Thật ra người miền Trung ít giao tiếp, khép kín với người lạ.",regional,"khép kín, ít giao tiếp",Người miền Trung,low,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Không biết sao chứ dân Hà Nội hay tự cho mình là văn minh hơn người tỉnh lẻ.,regional,"phân biệt, tự cao",Người Hà Nội,high,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Tôi đã từng gặp dân Huế và thấy hay khách sáo, không thật lòng.",regional,"khách sáo, không thật lòng",Người Huế,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Cứ nhìn vào dân Trung là thấy ít giao tiếp, khép kín với người lạ.",regional,"khép kín, ít giao tiếp",Người miền Trung,low,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Tôi không thích người Nghệ An vì thiếu văn minh so với người thành phố.,regional,"thiếu văn minh, quê mùa",Người Nghệ An,high,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Thật ra người Sài Gòn xưa nhẹ dạ, dễ bị lừa.",regional,"nhẹ dạ, cả tin",Người miền Nam,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Người ta vẫn hay nói người Hà Nội nói giọng Bắc nghe chảnh lắm.,regional,"giọng Bắc, chảnh",Người miền Bắc,low,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Người ta vẫn hay nói dân Hải Phòng không đáng tin trong làm ăn.,regional,không đáng tin,Người Hải Phòng,high,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Kinh nghiệm của tôi là người Nghệ An thiếu văn minh so với người thành phố.,regional,"thiếu văn minh, quê mùa",Người Nghệ An,high,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
Tôi né dân Đà Nẵng vì không thân thiện với người lạ.,regional,thiếu thân thiện,Người Đà Nẵng,low,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Đến dân Quảng mà làm ăn nhỏ lẻ, không có tầm nhìn xa thì biết nói gì.",regional,"thiếu tầm nhìn, nhỏ lẻ",Người Quảng Nam,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Ai cũng biết người cố đô hay khách sáo, không thật lòng.",regional,"khách sáo, không thật lòng",Người Huế,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Tôi thấy dân thủ đô hay soi mói chuyện người khác.,regional,"soi mói, tò mò",Người Hà Nội,medium,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Tôi thấy dân cảng dân cảng nổi tiếng hung hãn, dễ gây gổ.",regional,"hung hãn, gây gổ",Người Hải Phòng,high,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Thật ra người Hải Phòng nói chuyện bỗ bã, thiếu văn hóa.",regional,"bỗ bã, thiếu văn hóa",Người Hải Phòng,high,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Người ta vẫn hay nói dân Đà Nẵng hay kéo bè phái trong công việc.,regional,"bè phái, cục bộ",Người Đà Nẵng,high,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Người Hà Nội gốc kiêu ngạo vô lý, coi thường người ngoài tỉnh.",regional,"kiêu ngạo, phân biệt",Người Hà Nội,high,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Cứ nhìn vào người Sài Gòn là thấy không tiết kiệm, sống qua ngày.",regional,"không tiết kiệm, thiếu kế hoạch",Người miền Nam,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Người ta vẫn hay nói người miền Nam nói giọng nghe quê mùa.,regional,"giọng quê mùa, phương ngữ",Người miền Nam,low,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Làm việc với người Hà Nội mệt lắm vì tranh giành chỗ đứng không cần thực lực.,regional,"tranh giành, thiếu thực lực",Người Hà Nội,high,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Bạn tôi kể người Nghệ An thiếu văn minh so với người thành phố, thấy đúng thật.",regional,"thiếu văn minh, quê mùa",Người Nghệ An,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Người ta vẫn hay nói dân xứ Nghệ nói giọng nặng không ai hiểu.,regional,"giọng nặng, khó hiểu",Người Nghệ An,low,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Nói thật chứ dân thủ đô tranh giành chỗ đứng không cần thực lực.,regional,"tranh giành, thiếu thực lực",Người Hà Nội,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Người Hà Nội thì ai cũng biết là sống ở thủ đô mà tư duy vẫn làng xã.,regional,"tư duy làng xã, lạc hậu",Người Hà Nội,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Ai cũng biết dân xứ Quảng cứng đầu, hay cãi bướng.",regional,"cứng đầu, cãi bướng",Người Quảng Nam,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Tôi thấy người TP.HCM hay nổ, nói quá sự thật.",regional,"hay nổ, nói quá",Người miền Nam,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
