text,label,bias_terms,target_group,severity,safer_text,label_id
"Bạn tôi kể dân cảng nói chuyện bỗ bã, thiếu văn hóa, thấy đúng thật.",Regional Bias,"bỗ bã, thiếu văn hóa",Người Hải Phòng,high,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Có định kiến rằng người có quan điểm chính trị khác luôn luôn thiếu hiểu biết.,Political Bias,luôn thiếu hiểu biết,người có quan điểm chính trị khác,high,Việc tham gia thảo luận chính trị không quyết định mức độ đáng tin cậy.,9
Thanh niên ngày nay không biết cách giao tiếp ngoài đời thực.,Age Bias,"thanh niên, giao tiếp ngoài đời",Người trẻ,Medium,Nhiều người trẻ có kỹ năng giao tiếp xuất sắc trong cả môi trường số và thực tế.,2
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
"Người không có điều kiện mà bàn về chứng khoán, nghe lạ tai ghê.",Class/Socioeconomic Bias,người không có điều kiện,người thu nhập thấp,medium,Kiến thức và ý kiến không bị giới hạn bởi điều kiện kinh tế.,3
người Tày thường bị cho là ít cơ hội phát triển.,Ethnicity Bias,ít cơ hội phát triển,người Tày,low,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,7
người từng khủng hoảng tâm lý thường bị gán là khó làm việc nhóm.,Mental Health Bias,khó làm việc nhóm,người từng khủng hoảng tâm lý,high,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,10
Có định kiến rằng cử tri trẻ luôn không phù hợp vị trí lãnh đạo.,Political Bias,không phù hợp vị trí lãnh đạo,cử tri trẻ,high,Ý kiến khác nhau không tự động đồng nghĩa với thiếu năng lực.,9
Thanh niên ngày nay không biết cách giao tiếp ngoài đời thực.,Age Bias,"thanh niên, giao tiếp ngoài đời",Người trẻ,Medium,Nhiều người trẻ có kỹ năng giao tiếp xuất sắc trong cả môi trường số và thực tế.,2
người theo Công giáo bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người theo Công giáo,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Các thành viên thảo luận kế hoạch nghỉ lễ. trong chương trình.,Non-bias,none,none,low,Các thành viên thảo luận kế hoạch nghỉ lễ. trong chương trình.,0
"Làm việc với phụ nữ Việt Nam mệt lắm vì phụ nữ hay ghen tuông vô lý, đó là bản năng của họ.",Gender Bias,"ghen tuông vô lý, bản năng",phụ nữ,high,"Mỗi người có năng lực và phẩm chất riêng, không phụ thuộc vào giới tính.",1
Lễ hội địa phương thu hút nhiều người tham dự. tại địa phương.,Non-bias,none,none,low,Lễ hội địa phương thu hút nhiều người tham dự. tại địa phương.,0
"Bạn tôi kể phụ nữ con gái học nhiều làm gì, cuối cùng cũng về nhà chồng thôi, thấy đúng thật.",Gender Bias,"học nhiều làm gì, về nhà chồng",phụ nữ,high,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
"Thật ra người TP.HCM thích nhậu nhẹt, không lo chuyện lớn.",Regional Bias,"nhậu nhẹt, thiếu trách nhiệm",Người miền Nam,high,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
người từng khủng hoảng tâm lý thường bị gán là không phù hợp vị trí áp lực cao.,Mental Health Bias,không phù hợp vị trí áp lực cao,người từng khủng hoảng tâm lý,high,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,10
Gen Z thiếu kỹ năng thuyết trình trước đám đông.,Age Bias,"gen Z, thuyết trình",Người trẻ/Gen Z,Medium,Kỹ năng thuyết trình có thể phát triển qua luyện tập và không liên quan đến thế hệ.,2
cha mẹ đơn thân thường bị nhận xét là thiếu ổn định.,Marital/Family Status Bias,thiếu ổn định,cha mẹ đơn thân,medium,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,8
Gia đình cùng chuẩn bị bữa tối cuối tuần. trong tuần này.,Non-bias,none,none,low,Gia đình cùng chuẩn bị bữa tối cuối tuần. trong tuần này.,0
Mọi người đều nói đàn bà phụ nữ hay đầu tư vào hàng hiệu hơn là tài sản thật sự.,Gender Bias,"hàng hiệu, không đầu tư tài sản",phụ nữ,medium,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
Tôi đã từng gặp đàn ông Việt Nam và thấy đàn ông mà làm thẩm mỹ viện hay spa trông không bình thường.,Gender Bias,"không bình thường, thẩm mỹ viện spa",đàn ông,medium,Không nên áp đặt kỳ vọng hay giới hạn dựa trên giới tính của ai.,1
cha mẹ đơn thân thường bị nhận xét là khó cân bằng cuộc sống.,Marital/Family Status Bias,khó cân bằng cuộc sống,cha mẹ đơn thân,low,Mỗi người có trải nghiệm khác nhau nên cần tránh khái quát hóa.,8
Triển lãm trưng bày nhiều tác phẩm mới. trong tuần này.,Non-bias,none,none,low,Triển lãm trưng bày nhiều tác phẩm mới. trong tuần này.,0
"Nhà khó khăn mà cũng muốn cho con học nhạc, biết mình là ai chưa?",Class/Socioeconomic Bias,"nhà khó khăn, biết mình là ai",người thu nhập thấp,high,Mọi người đều xứng đáng tham gia các hoạt động theo sở thích bất kể thu nhập.,3
"Tôi thấy phụ nữ Việt Nam mà lên lãnh đạo thì hay thiên vị, khó làm việc lắm.",Gender Bias,"thiên vị, lãnh đạo",phụ nữ,high,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
"Dân tỉnh mà lên thành phố học thêm khóa kỹ năng, dễ bị lừa lắm.",Class/Socioeconomic Bias,dân tỉnh,người từ tỉnh,medium,Kinh nghiệm sống không phụ thuộc vào nơi xuất thân.,3
người độc thân lớn tuổi thường bị nhận xét là khó cân bằng cuộc sống.,Marital/Family Status Bias,khó cân bằng cuộc sống,người độc thân lớn tuổi,low,Không nên đánh giá cá nhân chỉ dựa trên nhóm xã hội hoặc hoàn cảnh của họ.,8
người độc thân lớn tuổi thường bị nhận xét là khó cân bằng cuộc sống.,Marital/Family Status Bias,khó cân bằng cuộc sống,người độc thân lớn tuổi,low,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,8
người Ê Đê thường bị cho là ít cơ hội phát triển.,Ethnicity Bias,ít cơ hội phát triển,người Ê Đê,low,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,7
Ông bà tôi hay nói làm bảo vệ tòa nhà thì cuộc đời cũng tối tăm lắm.,Occupation Bias,cuộc đời tối tăm,bảo vệ tòa nhà,high,Nhân viên bảo vệ có thu nhập ổn định và cơ hội thăng tiến trong lĩnh vực an ninh chuyên nghiệp.,4
Người lớn tuổi hay phủ nhận ý kiến của người trẻ.,Age Bias,"người lớn tuổi, phủ nhận ý kiến",Người cao tuổi,Medium,"Thái độ với ý kiến khác là đặc điểm cá nhân, không phải đặc điểm tuổi tác.",2
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
Không có bằng tiến sĩ thì đừng mơ làm cố vấn.,Class/Socioeconomic Bias,không có bằng,người không có bằng cấp phù hợp,high,Năng lực và kinh nghiệm thực tế có thể bù đắp cho bằng cấp chính thức trong nhiều lĩnh vực.,3
Nhiều người nghĩ rằng người có quan điểm chính trị khác quá cực đoan.,Political Bias,quá cực đoan,người có quan điểm chính trị khác,medium,Quan điểm chính trị không đủ để kết luận năng lực hay phẩm chất cá nhân.,9
Mặt xấu thế này làm sao xin việc được.,Appearance Bias,"mặt xấu, ngoại hình xấu",người bị coi là kém hấp dẫn,high,Năng lực làm việc không liên quan đến ngoại hình khuôn mặt.,11
Mấy đại gia Việt thì chủ yếu giàu nhờ chạy dự án chứ tài năng gì.,Class/Socioeconomic Bias,"đại gia, giàu nhờ tiêu cực",người giàu,high,Không nên phán xét cách người khác tích lũy tài sản khi thiếu thông tin đầy đủ.,3
Mọi người đều nói người đàn ông đàn ông mới phù hợp làm quản lý vì cứng rắn và quyết đoán hơn.,Gender Bias,"cứng rắn quyết đoán, quản lý",đàn ông,high,Sự đa dạng về giới tính là một phần tự nhiên của con người và xã hội.,1
Người ta vẫn hay nói người Hải Phòng có tiền rồi cũng tiêu xài không biết giữ.,Regional Bias,"không biết giữ tiền, phung phá",Người Hải Phòng,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Công việc ở tỉnh lẻ toàn nhàm chán, không thách thức như ở Hà Nội hay TP.HCM.",Class/Socioeconomic Bias,người làm việc ở tỉnh,medium,low,"Nhiều tỉnh thành đang phát triển mạnh và có nhiều cơ hội việc làm đa dạng, thách thức.",3
"Công nhân thực phẩm mà mong có được đi công tác nước ngoài, hơi xa vời.",Class/Socioeconomic Bias,công nhân,công nhân,medium,Mọi người lao động đều xứng đáng có điều kiện làm việc và phúc lợi tốt.,3
Xã hội mình hay quan niệm bảo vệ siêu thị thì cũng chỉ đứng ngó người ta mua đồ thôi.,Occupation Bias,chỉ đứng ngó,bảo vệ siêu thị,medium,"Bảo vệ siêu thị chịu trách nhiệm ngăn ngừa mất mát, đảm bảo an toàn và hỗ trợ khách hàng.",4
người bị trầm cảm thường bị gán là khó làm việc nhóm.,Mental Health Bias,khó làm việc nhóm,người bị trầm cảm,high,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,10
Nhiều người nghĩ rằng người phản biện chính sách chỉ nói theo đám đông.,Political Bias,chỉ nói theo đám đông,người phản biện chính sách,low,Tránh suy diễn tính cách từ lập trường hoặc mức độ quan tâm chính trị.,9
người không có bằng cấp cao thường khó thành công nên không nên giao việc quan trọng.,Educational Bias,khó thành công,người không có bằng cấp cao,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
Người mũi tẹt không sang trọng bằng người mũi cao.,Appearance Bias,"mũi tẹt, mũi thấp",người có đặc điểm mặt nhất định,medium,Không có loại mũi nào đẹp hơn hay sang trọng hơn loại khác.,11
Mọi người trong nhà chia sẻ việc dọn dẹp. theo kế hoạch.,Non-bias,none,none,low,Mọi người trong nhà chia sẻ việc dọn dẹp. theo kế hoạch.,0
Nhân viên cập nhật tiến độ dự án. theo kế hoạch.,Non-bias,none,none,low,Nhân viên cập nhật tiến độ dự án. theo kế hoạch.,0
Doanh nghiệp triển khai chương trình đào tạo. trong chương trình.,Non-bias,none,none,low,Doanh nghiệp triển khai chương trình đào tạo. trong chương trình.,0
Nghe nói người transgender việc chuyển giới phẫu thuật là tự hủy hoại cơ thể.,Gender Bias,"tự hủy hoại cơ thể, phẫu thuật chuyển giới",người chuyển giới,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
người có niềm tin tâm linh bị cho là quá bảo thủ trong môi trường làm việc.,Religion/Belief Bias,quá bảo thủ,người có niềm tin tâm linh,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Người miền núi da ngăm nhìn không ưa mắt.,Appearance Bias,"miền núi, da ngăm",người miền núi,high,Màu da không quyết định vẻ đẹp hay sự đáng trân trọng của một người.,11
Người tham dự tìm hiểu về lối sống lành mạnh. trong tuần này.,Non-bias,none,none,low,Người tham dự tìm hiểu về lối sống lành mạnh. trong tuần này.,0
"Nhà khó khăn mà cũng muốn đi du lịch nước ngoài, biết mình là ai chưa?",Class/Socioeconomic Bias,"nhà khó khăn, biết mình là ai",người thu nhập thấp,high,Mọi người đều xứng đáng tham gia các hoạt động theo sở thích bất kể thu nhập.,3
"Kinh nghiệm của tôi là người cố đô tính tình lạnh lùng, khó gần.",Regional Bias,"lạnh lùng, khó gần",Người Huế,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Nhiều người nghĩ rằng người quan tâm chính trị khó hợp tác.,Political Bias,khó hợp tác,người quan tâm chính trị,medium,Cần xem xét bối cảnh thay vì dùng kết luận khái quát.,9
"Người bị bỏng sẹo trông ghê lắm, tránh xa ra.",Appearance Bias,"sẹo, bỏng",người có sẹo,high,"Sẹo là một phần của cơ thể và câu chuyện của người đó, không phải thứ cần tránh xa.",11
người điều trị tâm lý thường bị gán là khó làm việc nhóm.,Mental Health Bias,khó làm việc nhóm,người điều trị tâm lý,high,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,10
"Bọn trẻ không biết tự lập, suốt ngày nhờ vả bố mẹ.",Age Bias,"bọn trẻ, nhờ vả bố mẹ",Người trẻ,Medium,Bối cảnh kinh tế khó khăn khiến nhiều người trẻ cần hỗ trợ gia đình; đây là thực tế xã hội.,2
người ly hôn thường bị nhận xét là khó làm hình mẫu.,Marital/Family Status Bias,khó làm hình mẫu,người ly hôn,medium,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,8
người bị trầm cảm thường bị gán là bị xem là yếu đuối.,Mental Health Bias,bị xem là yếu đuối,người bị trầm cảm,high,Không nên đánh giá cá nhân chỉ dựa trên nhóm xã hội hoặc hoàn cảnh của họ.,10
Xã hội mình hay quan niệm thầy giáo dạy thể dục thì không cần giỏi như các môn khác.,Occupation Bias,không cần giỏi,giáo viên thể dục,medium,"Giáo viên thể dục cần kiến thức chuyên môn về thể thao, sức khỏe và kỹ năng sư phạm.",4
người ủng hộ chính sách công bị gắn nhãn là không đáng tin trong tranh luận.,Political Bias,không đáng tin,người ủng hộ chính sách công,high,Không nên đồng nhất mọi cá nhân trong một nhóm quan điểm.,9
Đàn ông quá điệu đà ăn mặc thì không đáng tin.,Appearance Bias,"điệu đà, ăn mặc đẹp",nam giới,high,Phong cách thời trang không phản ánh độ tin cậy của một người.,11
Người thấp bé không toát ra sự uy quyền.,Appearance Bias,"thấp, lùn",người thấp bé,high,"Sự uy quyền đến từ năng lực và thái độ, không phải chiều cao.",11
người theo Phật giáo bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người theo Phật giáo,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Nhiều người nghĩ rằng cử tri trẻ luôn thiếu hiểu biết.,Political Bias,luôn thiếu hiểu biết,cử tri trẻ,high,Việc tham gia thảo luận chính trị không quyết định mức độ đáng tin cậy.,9
"Tôi không thích phụ nữ vì con gái học xong rồi cũng lấy chồng, học nhiều để làm gì.",Gender Bias,"học nhiều để làm gì, lấy chồng",phụ nữ,high,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
Người cao tuổi hay truyền đạt sai kinh nghiệm không còn phù hợp.,Age Bias,"người cao tuổi, kinh nghiệm không còn phù hợp",Người cao tuổi,Medium,Kinh nghiệm của người lớn tuổi chứa nhiều nguyên tắc vượt thời gian.,2
Gen Z hay nhảy việc làm mất ổn định cho thị trường lao động.,Age Bias,"gen Z, nhảy việc",Người trẻ/Gen Z,Medium,"Linh hoạt lao động là đặc điểm của thị trường hiện đại, không phải vấn đề của một thế hệ.",2
người bị trầm cảm thường bị gán là không phù hợp vị trí áp lực cao.,Mental Health Bias,không phù hợp vị trí áp lực cao,người bị trầm cảm,high,Mỗi người có trải nghiệm khác nhau nên cần tránh khái quát hóa.,10
người H'Mông thường bị cho là bị xem là lạc hậu.,Ethnicity Bias,bị xem là lạc hậu,người H'Mông,high,Sự đa dạng không đồng nghĩa với hạn chế.,7
Có định kiến rằng cử tri trẻ luôn không nên tham gia thảo luận.,Political Bias,không nên tham gia thảo luận,cử tri trẻ,medium,Đối thoại tôn trọng giúp hiểu rõ khác biệt hơn là áp dụng định kiến.,9
Người cao tuổi thường không tin tưởng vào thay đổi chính sách.,Age Bias,"người cao tuổi, không tin thay đổi",Người cao tuổi,Medium,Sự thận trọng với thay đổi là đặc điểm cá nhân không phân biệt tuổi tác.,2
Nhiều người nghĩ rằng người có quan điểm chính trị khác không nên tham gia thảo luận.,Political Bias,không nên tham gia thảo luận,người có quan điểm chính trị khác,medium,Tránh suy diễn tính cách từ lập trường hoặc mức độ quan tâm chính trị.,9
người có vấn đề sức khỏe tâm thần thường bị gán là khó làm việc nhóm.,Mental Health Bias,khó làm việc nhóm,người có vấn đề sức khỏe tâm thần,high,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,10
Người lông mày rậm trông dữ dằn khó ưa.,Appearance Bias,lông mày rậm,người có lông mày đậm,medium,Đặc điểm ngoại hình không phản ánh tính cách.,11
người không có con thường bị nhận xét là khó làm hình mẫu.,Marital/Family Status Bias,khó làm hình mẫu,người không có con,medium,Đánh giá nên dựa trên hành vi và năng lực thực tế.,8
"Ông bà tôi hay nói nghề bảo vệ thì ai mà chả làm được, cần gì phải học.",Occupation Bias,"ai mà chả làm được, cần gì học",bảo vệ,high,"Nghề bảo vệ đòi hỏi kiến thức pháp luật, kỹ năng xử lý tình huống khẩn cấp và thể chất tốt.",4
"Tôi thấy phụ nữ phụ nữ không hợp làm việc áp lực cao, dễ bị stress.",Gender Bias,"áp lực cao, dễ bị stress",phụ nữ,medium,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
"Dân tỉnh mà lên thành phố kinh doanh online, dễ bị lừa lắm.",Class/Socioeconomic Bias,dân tỉnh,người từ tỉnh,medium,Kinh nghiệm sống không phụ thuộc vào nơi xuất thân.,3
"Nhà khó khăn mà cũng muốn học tiếng Anh trung tâm xịn, biết mình là ai chưa?",Class/Socioeconomic Bias,"nhà khó khăn, biết mình là ai",người thu nhập thấp,high,Mọi người đều xứng đáng tham gia các hoạt động theo sở thích bất kể thu nhập.,3
Sinh viên tham gia buổi thảo luận học thuật. trong tuần này.,Non-bias,none,none,low,Sinh viên tham gia buổi thảo luận học thuật. trong tuần này.,0
người từng khủng hoảng tâm lý thường bị gán là bị xem là yếu đuối.,Mental Health Bias,bị xem là yếu đuối,người từng khủng hoảng tâm lý,high,Mỗi người có trải nghiệm khác nhau nên cần tránh khái quát hóa.,10
người ly hôn thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người ly hôn,medium,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,8
Câu chuyện hay gặp là người đàn ông đàn ông phải có ít nhất vài trăm triệu trước khi dám cưới.,Gender Bias,"vài trăm triệu, dám cưới",đàn ông,medium,"Mỗi cá nhân có quyền tự quyết về cuộc sống của mình, không phụ thuộc giới tính.",1
Mọi người đều nói nam giới đàn ông mà đi chợ nấu cơm trông mất hình tượng lắm.,Gender Bias,"đi chợ nấu cơm, mất hình tượng",đàn ông,medium,Tôn trọng sự tự do và bình đẳng của mọi người là nền tảng của xã hội văn minh.,1
"Nghe nói phụ nữ không hợp làm sếp vì hay cảm tính, quyết định không ổn định.",Gender Bias,"cảm tính, không hợp làm sếp",phụ nữ,high,Sự đa dạng về giới tính là một phần tự nhiên của con người và xã hội.,1
Người ta vẫn hay nói dân Đà Nẵng hay dựa vào mối quan hệ hơn thực lực.,Regional Bias,"quan hệ, thiếu thực lực",Người Đà Nẵng,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Nhiều người nghĩ rằng người có quan điểm chính trị khác khó hợp tác.,Political Bias,khó hợp tác,người có quan điểm chính trị khác,medium,Quan điểm chính trị không đủ để kết luận năng lực hay phẩm chất cá nhân.,9
"Nghe nói nông dân thì chỉ biết cày ruộng, biết gì mà ý kiến.",Occupation Bias,biết gì mà ý kiến,nông dân,high,Nông dân có kiến thức sâu rộng về nông nghiệp và hoàn toàn có quyền tham gia thảo luận xã hội.,4
"Khắc gỗ thì chỉ là đẽo gọt tay chân, ai học được cũng làm.",Occupation Bias,ai học được cũng làm,thợ khắc gỗ,medium,"Khắc gỗ nghệ thuật đòi hỏi nhiều năm luyện tập, kỹ năng và sự sáng tạo cao.",4
Người to béo không nên làm diễn viên lãng mạn.,Appearance Bias,"béo, to con",người thừa cân,high,Người thuộc mọi vóc dáng đều có thể đóng vai lãng mạn thành công.,11
người ly hôn thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người ly hôn,medium,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,8
"Nghe nói con gái con gái mà nói nhiều, tranh luận nhiều trông không dễ chịu.",Gender Bias,"nói nhiều tranh luận, không dễ chịu",phụ nữ,medium,Tôn trọng sự tự do và bình đẳng của mọi người là nền tảng của xã hội văn minh.,1
Ông bà tôi hay nói người làm nghề chụp ảnh cưới thì không phải nghệ sĩ thật sự.,Occupation Bias,không phải nghệ sĩ thật sự,photographer cưới,medium,"Nhiếp ảnh gia chụp cưới cần kỹ năng ánh sáng, bố cục và hậu kỳ chuyên nghiệp.",4
