text,label,bias_terms,target_group,severity,safer_text,label_id
Kinh nghiệm của tôi là dân thủ đô nói giọng Hà Nội giờ nghe lai căng.,Regional Bias,"lai căng, giọng Hà Nội",Người Hà Nội,low,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
Người thấp không nên đứng ở hàng đầu khi chụp ảnh.,Appearance Bias,"thấp, lùn",người thấp bé,low,Mọi người đều có quyền đứng ở vị trí họ muốn trong ảnh.,11
Có định kiến rằng người hoạt động xã hội luôn không nên tham gia thảo luận.,Political Bias,không nên tham gia thảo luận,người hoạt động xã hội,medium,Việc tham gia thảo luận chính trị không quyết định mức độ đáng tin cậy.,9
"Bố mẹ già rồi, mình phải quyết định mọi thứ thay họ.",Age Bias,"bố mẹ già, quyết định thay",Người cao tuổi,High,Người lớn tuổi có quyền tự quyết về cuộc sống của mình nếu còn năng lực.,2
Già thế kia còn đi gym làm gì nữa.,Appearance Bias,"già, lớn tuổi",người lớn tuổi,medium,Tập luyện thể dục có lợi cho sức khỏe ở mọi lứa tuổi.,11
"Chỗ nào nhiều lao động nhập cư thì môi trường phức tạp, không an toàn.",Class/Socioeconomic Bias,lao động nhập cư,high,medium,"An toàn cộng đồng phụ thuộc vào nhiều yếu tố, không liên quan đến tình trạng nhập cư lao động.",3
"Mọi người đều nói người TP.HCM nói chuyện bỗ bã, thiếu lễ phép.",Regional Bias,"bỗ bã, thiếu lễ phép",Người Sài Gòn,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
người học nghề thường không đủ năng lực lãnh đạo nên không nên giao việc quan trọng.,Educational Bias,không đủ năng lực lãnh đạo,người học nghề,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
"Tôi thấy con gái phụ nữ không hợp với các ngành khoa học như toán, lý, hóa.",Gender Bias,"không hợp ngành khoa học, toán lý hóa",phụ nữ,high,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
Xã hội mình vẫn quan niệm người phụ nữ phụ nữ hay bỏ việc khi lấy chồng nên sếp không muốn đầu tư.,Gender Bias,"bỏ việc khi lấy chồng, không muốn đầu tư",phụ nữ,high,Tôn trọng sự tự do và bình đẳng của mọi người là nền tảng của xã hội văn minh.,1
"Xã hội mình hay quan niệm nghề đầu bếp thì làm gì có tương lai, chỉ đứng bếp cả đời.",Occupation Bias,làm gì có tương lai,đầu bếp,medium,Đầu bếp có nhiều cơ hội phát triển từ quản lý nhà hàng đến mở cơ sở kinh doanh riêng.,4
cử tri trẻ thường bị cho là không khách quan.,Political Bias,không khách quan,cử tri trẻ,medium,Khác biệt quan điểm có thể tồn tại mà không phản ánh giá trị con người.,9
Có định kiến rằng nhóm có ý kiến trái chiều luôn không khách quan.,Political Bias,không khách quan,nhóm có ý kiến trái chiều,medium,Cần xem xét bối cảnh thay vì dùng kết luận khái quát.,9
"Ông bà tôi hay nói người trồng rau thì không cần học cao, trồng thế nào cũng được.",Occupation Bias,"không cần học cao, trồng thế nào cũng được",người trồng rau,medium,"Nông nghiệp hiện đại đòi hỏi hiểu biết về kỹ thuật canh tác, đất, nước và quản lý dịch bệnh.",4
"Chỉ làm shipper thôi mà dám lấy vợ, nuôi con sao nổi. Đó là định kiến cần thay đổi.",Occupation Bias,nuôi con sao nổi,shipper,low,"Shipper có thể có thu nhập ổn định, đủ khả năng xây dựng cuộc sống gia đình.",4
"Ông bà tôi hay nói người làm web freelance thì không đáng tin, thiếu chuyên nghiệp.",Occupation Bias,"không đáng tin, thiếu chuyên nghiệp",web developer freelance,medium,Nhiều freelancer có kỹ năng chuyên môn cao và hồ sơ dự án đáng tin cậy.,4
Nghe nói người Sài Gòn sống buông thả không lo tương lai.,Regional Bias,"buông thả, thiếu kế hoạch",Người Sài Gòn,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
"Nghe nói làm nhân viên tạp hóa thì học được gì, không ra gì cả.",Occupation Bias,không ra gì cả,nhân viên tạp hóa,medium,"Nhân viên tạp hóa học được quản lý hàng hóa, giao tiếp khách hàng và vận hành kinh doanh nhỏ.",4
"Nói thật chứ nam giới đàn ông kiếm ít hơn vợ thì bị coi là ăn bám, kém cỏi.",Gender Bias,"ăn bám kém cỏi, kiếm ít hơn vợ",đàn ông,high,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
Người đứng không thẳng do bệnh cột sống trông lười biếng.,Appearance Bias,"cột sống, đứng cúi",người bệnh cột sống,high,Tư thế đứng do bệnh cột sống không phản ánh sự lười biếng.,11
Người Trung Đông mặt dữ dằn trông không đáng tin.,Appearance Bias,"Trung Đông, mặt dữ",người Trung Đông,high,Khuôn mặt và nguồn gốc dân tộc không phản ánh tính cách hay độ tin cậy.,11
Xã hội mình hay quan niệm mấy anh thợ sửa xe thì tay chân lúc nào cũng dơ.,Occupation Bias,tay chân lúc nào cũng dơ,thợ sửa xe,medium,"Thợ sửa xe có kỹ năng kỹ thuật chuyên sâu, đảm bảo an toàn giao thông cho người dùng.",4
Nhiều người nghĩ gia sư thì cũng không phải là giáo viên thật sự.,Occupation Bias,không phải giáo viên thật sự,gia sư,medium,Gia sư cung cấp hỗ trợ học tập cá nhân hóa có giá trị cao và nhiều gia sư có trình độ chuyên môn xuất sắc.,4
"Dân gian hay nói người phụ nữ đàn ông đi làm về mệt rồi, vợ phải lo cơm nước chứ.",Gender Bias,"vợ lo cơm nước, đàn ông mệt",phụ nữ,medium,"Mỗi cá nhân có quyền tự quyết về cuộc sống của mình, không phụ thuộc giới tính.",1
Dân miền Trung hay chắt chiu dè xẻn vì nghèo quen rồi.,Class/Socioeconomic Bias,người miền Trung,medium,low,"Thói quen tài chính cẩn thận là kỹ năng quản lý tốt, không nên gắn với định kiến vùng miền.",3
Người cổ ngắn mặc áo cổ tròn trông buồn cười.,Appearance Bias,cổ ngắn,người cổ ngắn,low,Không có kiểu áo nào không phù hợp dựa trên đặc điểm cơ thể.,11
Có định kiến rằng nhóm có ý kiến trái chiều luôn khó hợp tác.,Political Bias,khó hợp tác,nhóm có ý kiến trái chiều,medium,Ý kiến khác nhau không tự động đồng nghĩa với thiếu năng lực.,9
"Cắt cỏ thuê thì nghề gì mà học, ai cũng làm được.",Occupation Bias,ai cũng làm được,người cắt cỏ / làm vườn thuê,medium,Cắt cỏ và chăm sóc cảnh quan chuyên nghiệp đòi hỏi kiến thức về thực vật và kỹ thuật.,4
Tôi không thích đàn ông vì đàn ông mà chăm chút ngoại hình quá bị nghi ngờ là không bình thường.,Gender Bias,"chăm chút ngoại hình, không bình thường",đàn ông,medium,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
Mọi người đều nói phụ nữ Việt Nam phụ nữ giỏi ngôn ngữ vì não trái phát triển hơn não phải.,Gender Bias,"não trái phát triển, ngôn ngữ",phụ nữ,medium,Định kiến giới gây ra bất bình đẳng và tổn hại cho cả xã hội.,1
Chẳng ai phủ nhận được dân thủ đô hay tự cho mình là văn minh hơn người tỉnh lẻ.,Regional Bias,"phân biệt, tự cao",Người Hà Nội,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Bọn trẻ không biết tự lập, suốt ngày nhờ vả bố mẹ.",Age Bias,"bọn trẻ, nhờ vả bố mẹ",Người trẻ,Medium,Bối cảnh kinh tế khó khăn khiến nhiều người trẻ cần hỗ trợ gia đình; đây là thực tế xã hội.,2
"Mấy đứa nhà quê hay nói chuyện ồn ào, thiếu lịch sự.",Class/Socioeconomic Bias,người nông thôn,high,medium,Phong cách giao tiếp đa dạng theo văn hóa vùng miền và không phản ánh trình độ lịch sự.,3
Thằng đó học dốt nên chỉ làm được công nhân thôi. Đó là định kiến cần thay đổi.,Occupation Bias,"học dốt, chỉ làm được",công nhân,low,Người làm công nhân có kỹ năng và đóng góp quan trọng cho xã hội.,4
Người không có tiền đi đến trung tâm thương mại chỉ để nhìn thôi.,Class/Socioeconomic Bias,người thu nhập thấp,medium,medium,Trung tâm thương mại là không gian công cộng và mọi người đều có quyền lui tới.,3
"Xã hội mình hay quan niệm thợ sơn thì chẳng cần học hành gì, cầm cọ lên là làm được.",Occupation Bias,chẳng cần học hành gì,thợ sơn,medium,"Thợ sơn cần kỹ năng chuyên môn về vật liệu, kỹ thuật phủ bề mặt và an toàn lao động.",4
Nghe nói con nít ở quê lớn lên thì chỉ ra thành phố làm công nhân thôi.,Occupation Bias,chỉ ra thành phố làm công nhân,thanh niên nông thôn / nông dân,medium,Mỗi người đều có tiềm năng phát triển và đạt thành tựu bất kể xuất phát điểm.,4
"Cậu bé đó mới 22 tuổi mà đã làm giám đốc, chắc nhờ bố mẹ thôi.",Age Bias,"22 tuổi, chắc nhờ bố mẹ",Người trẻ,Medium,Thành công của người trẻ không nên bị nghi ngờ dựa trên tuổi tác.,2
Người dân tham gia hoạt động địa phương. trong chương trình.,Non-bias,none,none,low,Người dân tham gia hoạt động địa phương. trong chương trình.,0
"Thật ra dân Trung cố chấp, khó thay đổi quan điểm.",Regional Bias,"cố chấp, bảo thủ",Người miền Trung,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Tôi không thích người đàn ông vì đàn ông mà đi chợ nấu cơm trông mất hình tượng lắm.,Gender Bias,"đi chợ nấu cơm, mất hình tượng",đàn ông,medium,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
Nhiều người nghĩ thợ lặn để sửa chữa công trình thì cũng dân lao động phổ thông thôi.,Occupation Bias,dân lao động phổ thông,thợ lặn công nghiệp,medium,Thợ lặn công nghiệp cần đào tạo kỹ thuật đặc biệt và chịu điều kiện làm việc khắc nghiệt.,4
người không tín ngưỡng bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người không tín ngưỡng,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
người theo Phật giáo bị cho là khó hòa nhập trong môi trường làm việc.,Religion/Belief Bias,khó hòa nhập,người theo Phật giáo,medium,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Làm việc với người Nghệ An mệt lắm vì ít giao tiếp, khép kín với người lạ.",Regional Bias,"khép kín, ít giao tiếp",Người miền Trung,low,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Thật ra người Hải Phòng có tiền rồi cũng tiêu xài không biết giữ.,Regional Bias,"không biết giữ tiền, phung phá",Người Hải Phòng,medium,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
Mọi người đều nói người miền Bắc ăn uống cầu kỳ nhưng ít chia sẻ.,Regional Bias,"cầu kỳ, ít chia sẻ",Người miền Bắc,low,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Cứ nhìn vào dân xứ Nghệ là thấy làm ăn không bài bản, thiếu chuyên nghiệp.",Regional Bias,thiếu chuyên nghiệp,Người Nghệ An,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Tôi đã từng gặp đàn bà và thấy mà mạnh mẽ, quyết đoán quá thì mất đi nữ tính.",Gender Bias,"mạnh mẽ quyết đoán, mất nữ tính",phụ nữ,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
"Tôi thấy người Sài Gòn xưa xài tiền không biết tính, phung phá lắm.",Regional Bias,"phung phá, xài tiền không tính",Người miền Nam,medium,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Học ngành kỹ sư ra thì mới làm ăn được, còn kinh doanh thì bầm dập.",Occupation Bias,bầm dập,người kinh doanh,medium,Kinh doanh là lĩnh vực đòi hỏi kỹ năng cao và nhiều doanh nhân đạt thành công vượt trội.,4
Tôi đã từng gặp con gái và thấy phụ nữ đầu tư chứng khoán hay thua vì không kiên nhẫn.,Gender Bias,"không kiên nhẫn, thua chứng khoán",phụ nữ,high,"Định kiến giới hạn cơ hội của mọi người, bất kể họ là ai.",1
"Nói thật chứ đàn ông Việt Nam đàn ông để vợ quản lý tiền là hèn, không giữ được quyền trong nhà.",Gender Bias,"hèn, không giữ được quyền",đàn ông,high,"Mỗi người có năng lực và phẩm chất riêng, không phụ thuộc vào giới tính.",1
"Xã hội mình hay quan niệm nghề phụ hồ thì ai làm chẳng được, cần gì học.",Occupation Bias,"ai làm chẳng được, cần gì học",thợ phụ hồ,high,Lao động xây dựng đòi hỏi kỹ năng kỹ thuật và kinh nghiệm thực tiễn.,4
Người bị bệnh vảy nến ngứa gãi liên tục nhìn bẩn.,Appearance Bias,"vảy nến, gãi ngứa",người bị vảy nến,high,Vảy nến là bệnh tự miễn gây ngứa và không liên quan đến sự sạch sẽ.,11
công chức bị gắn nhãn là không đáng tin trong tranh luận.,Political Bias,không đáng tin,công chức,high,Nên đánh giá ý kiến dựa trên nội dung và bằng chứng thay vì gán nhãn cho nhóm người.,9
"Câu chuyện hay gặp là phụ nữ Việt Nam con gái phải biết nhường nhịn, không được tranh hơn thua.",Gender Bias,"nhường nhịn, không tranh hơn thua",phụ nữ,medium,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
"Xã hội mình hay quan niệm nuôi heo, nuôi gà thì cũng chỉ là chăn nuôi tay chân.",Occupation Bias,chỉ là chăn nuôi tay chân,người chăn nuôi,medium,"Chăn nuôi hiện đại đòi hỏi kiến thức về dinh dưỡng, thú y và quản lý trang trại.",4
Nhiều người nghĩ rằng người ủng hộ chính sách công chỉ nói theo đám đông.,Political Bias,chỉ nói theo đám đông,người ủng hộ chính sách công,low,Không nên đồng nhất mọi cá nhân trong một nhóm quan điểm.,9
"Dân gian hay nói người Sài Gòn xưa không tiết kiệm, sống qua ngày.",Regional Bias,"không tiết kiệm, thiếu kế hoạch",Người miền Nam,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Không có bằng MBA thì đừng mơ làm quản lý cấp cao.,Class/Socioeconomic Bias,không có bằng,người không có bằng cấp phù hợp,high,Năng lực và kinh nghiệm thực tế có thể bù đắp cho bằng cấp chính thức trong nhiều lĩnh vực.,3
Ông bà tôi hay nói người dọn phòng khách sạn thì làm việc không cần nghĩ ngợi gì.,Occupation Bias,không cần nghĩ ngợi gì,nhân viên dọn phòng khách sạn,medium,"Nhân viên dọn phòng cần kỹ năng tổ chức, chú ý chi tiết và hiểu biết về tiêu chuẩn vệ sinh khách sạn.",4
"Người làm hàng xén thì nghề buôn thúng bán mẹt, không ra gì.",Occupation Bias,"buôn thúng bán mẹt, không ra gì",người bán hàng xén,medium,Tiểu thương cung cấp hàng hóa thiết yếu cho cộng đồng và là nền tảng của kinh tế địa phương.,4
"Không biết sao chứ dân Trung thực dụng, chỉ tính cái lợi trước mắt.",Regional Bias,"thực dụng, tính toán",Người miền Trung,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Nhà có tiền mới dám mơ lớn, nhà nghèo mơ làm gì cho mệt.",Class/Socioeconomic Bias,người nghèo,high,medium,"Ước mơ và khát vọng là quyền của tất cả mọi người, không phụ thuộc vào tài chính.",3
"Công nhân dệt may mà mong có thưởng cuối năm lớn, hơi xa vời.",Class/Socioeconomic Bias,công nhân,công nhân,medium,Mọi người lao động đều xứng đáng có điều kiện làm việc và phúc lợi tốt.,3
Mọi người đều nói người Huế hay tự mãn với văn hóa địa phương.,Regional Bias,"tự mãn, cục bộ",Người Huế,low,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Hói đầu thì đừng mơ được làm diễn viên.,Appearance Bias,"hói, hói đầu",người hói đầu,high,Ngoại hình không nên là rào cản với nghề diễn.,11
người Tày thường bị cho là khó hòa nhập.,Ethnicity Bias,khó hòa nhập,người Tày,medium,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,7
Gia đình tổ chức buổi gặp mặt nhỏ. tại địa phương.,Non-bias,none,none,low,Gia đình tổ chức buổi gặp mặt nhỏ. tại địa phương.,0
Có định kiến rằng người có quan điểm chính trị khác luôn chỉ nói theo đám đông.,Political Bias,chỉ nói theo đám đông,người có quan điểm chính trị khác,low,Không nên đồng nhất mọi cá nhân trong một nhóm quan điểm.,9
"Con nhà lao động mà dám yêu con nhà tư sản, nghĩ mình bằng người ta à?",Class/Socioeconomic Bias,người lao động,high,medium,Tình cảm và hôn nhân không nên bị giới hạn bởi điều kiện kinh tế của gia đình.,3
Người đeo kính nhìn không năng động bằng người không đeo.,Appearance Bias,"kính, đeo kính",người đeo kính,medium,Đeo kính không ảnh hưởng đến năng lượng hay sự năng động của một người.,11
"Làm việc với con gái mệt lắm vì con gái nên học sư phạm, không cần thiết học các ngành khó.",Gender Bias,"không cần thiết ngành khó, học sư phạm",phụ nữ,medium,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
Nhiều người nghĩ rằng người có quan điểm chính trị khác khó hợp tác.,Political Bias,khó hợp tác,người có quan điểm chính trị khác,medium,Việc tham gia thảo luận chính trị không quyết định mức độ đáng tin cậy.,9
"Tôi không thích người TP.HCM vì nói chuyện ồn ào, thiếu lịch sự.",Regional Bias,"ồn ào, thiếu lịch sự",Người miền Nam,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Bạn tôi kể đàn bà con gái mà thích thể thao mạnh như boxing thì trông lạ mắt, thấy đúng thật.",Gender Bias,"thể thao mạnh, lạ mắt",phụ nữ,low,Không nên áp đặt kỳ vọng hay giới hạn dựa trên giới tính của ai.,1
"Nghe nói người làm cốt thép thì làm việc tay chân, không phát triển được.",Occupation Bias,không phát triển được,thợ cốt thép,medium,"Thợ cốt thép có thể phát triển thành giám sát thi công, kỹ thuật viên và quản lý dự án.",4
Nhạc công chơi nhạc đám cưới thì không phải nhạc sĩ thật sự.,Occupation Bias,không phải nhạc sĩ thật sự,nhạc công,medium,Nhạc công đám cưới có kỹ năng âm nhạc thực sự và đóng góp cho văn hóa lễ hội.,4
Mấy đại gia Việt thì chủ yếu giàu nhờ khai thác tài nguyên chứ tài năng gì.,Class/Socioeconomic Bias,"đại gia, giàu nhờ tiêu cực",người giàu,high,Không nên phán xét cách người khác tích lũy tài sản khi thiếu thông tin đầy đủ.,3
Người tham dự tìm hiểu về lối sống lành mạnh. ở buổi họp.,Non-bias,none,none,low,Người tham dự tìm hiểu về lối sống lành mạnh. ở buổi họp.,0
"Bọn 9x toàn đua đòi, thấy người ta có gì cũng muốn.",Age Bias,"bọn 9x, đua đòi",Thế hệ 9x,Medium,Không thể đánh giá chung một thế hệ qua hành vi của một số cá nhân.,2
"Người ta vẫn hay nói người Đà Nẵng ít cầu tiến, bằng lòng với hiện tại.",Regional Bias,"ít cầu tiến, bằng lòng",Người Đà Nẵng,medium,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Ông bà tôi hay nói dân xây dựng thì học ít, làm nhiều, không tiến bộ được.",Occupation Bias,"học ít, không tiến bộ được",công nhân xây dựng,medium,"Ngành xây dựng có nhiều con đường phát triển từ công nhân lên tổ trưởng, kỹ thuật viên và quản lý dự án.",4
"Câu chuyện hay gặp là người phụ nữ đàn ông đi làm về mệt rồi, vợ phải lo cơm nước chứ.",Gender Bias,"vợ lo cơm nước, đàn ông mệt",phụ nữ,medium,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
"Chẳng ai phủ nhận được đàn bà đi làm nhiều quá rồi bỏ bê gia đình, không ra gì.",Gender Bias,"bỏ bê gia đình, đi làm",phụ nữ,high,"Mỗi người có năng lực và phẩm chất riêng, không phụ thuộc vào giới tính.",1
người theo Công giáo bị cho là không phù hợp vị trí quản lý trong môi trường làm việc.,Religion/Belief Bias,không phù hợp vị trí quản lý,người theo Công giáo,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Tôi đã từng gặp con gái đồng tính và thấy con gái mà tomboy thì chắc là lesbian, trông kỳ lắm.",Gender Bias,"tomboy, chắc là lesbian",người đồng tính nữ,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
Tôi đã từng gặp đàn ông Việt Nam và thấy đàn ông làm y tá hay giáo viên mầm non trông buồn cười lắm.,Gender Bias,"trông buồn cười, y tá giáo viên mầm non",đàn ông,medium,"Mỗi cá nhân có quyền tự quyết về cuộc sống của mình, không phụ thuộc giới tính.",1
Ông bà tôi hay nói người giao nước đóng bình thì không cần chuyên môn gì.,Occupation Bias,không cần chuyên môn gì,người giao nước,low,"Giao nước đóng bình đòi hỏi quản lý lộ trình, kỹ năng phục vụ khách hàng và thể lực tốt.",4
